WKT,name,description,lon,lat,x,y,z,cluster,color
POINT (-117.5343363 33.8795296),"US Battery Manufacturing Co,",,-117.5343363,33.8795296,-0.3837902552506059,-0.7361767290216997,0.5574485300201137,2,#35b779
POINT (-90.44327229999999 38.7161681),"Electro Battery Manufacturing Co,",,-90.44327229999999,38.7161681,-0.006036422085292212,-0.7802305904913471,0.6254628584256078,0,#440154
POINT (-86.9193055 38.9043626),"Battery Innovation Center, Inc.,",,-86.9193055,38.9043626,0.04182205247539151,-0.777070711575581,0.6280223126117143,0,#440154
POINT (-85.8845077 37.5883111),"BlueOvalSK Battery Park,",,-85.8845077,37.5883111,0.05686929491325582,-0.790370794668061,0.6099835163607676,0,#440154
POINT (-84.9891901 37.0669259),"Superior Battery Manufacturing Company, Inc.,",,-84.9891901,37.0669259,0.06969432643166436,-0.7948824917788129,0.6027474803985017,0,#440154
POINT (-82.123291 33.54465479999999),"US Battery Mfg Co,",,-82.123291,33.54465479999999,0.1142183021180448,-0.8255919632387051,0.5525867259507159,3,#fde725
POINT (-82.0072474 33.37056),"US Battery Manufacturing Co,",,-82.0072474,33.37056,0.1161231064526565,-0.8270178652883802,0.5500517017896006,3,#fde725
POINT (-79.6403983 35.8924702),"Toyota Battery Manufacturing,",,-79.6403983,35.8924702,0.1456800807526086,-0.796912550454024,0.5862658961604164,3,#fde725
POINT (-84.259261 39.5690389),"American Battery Solutions, Inc.,",,-84.259261,39.5690389,0.07710675480692933,-0.7669914943973871,0.6370075320474687,0,#440154
POINT (-122.6178412 45.3981271),"Battery Factory,",,-122.6178412,45.3981271,-0.3784962742717667,-0.5914322998390885,0.712003093440919,1,#31688e
